unique_id_aws_compute_shapes
Linux c4.2xlarge
Linux c4.4xlarge
Linux c4.8xlarge
Linux c4.large
Linux c4.xlarge
Linux c5a.24xlarge
Linux c5n.18xlarge
Linux c5n.2xlarge
Linux c5n.4xlarge
Linux c5n.9xlarge
Linux c5n.large
Linux c5n.metal
Linux c5n.xlarge
Linux c6i.12xlarge
Linux c6i.16xlarge
Linux c6i.24xlarge
Linux c6i.2xlarge
Linux c6i.32xlarge
Linux c6i.4xlarge
Linux c6i.8xlarge
Linux c6i.large
Linux c6i.metal
Linux c6i.xlarge
Linux c6in.2xlarge
Linux c6in.4xlarge
Linux c6in.8xlarge
Linux c6in.large
Linux c6in.xlarge
Linux Hpc6a.48xlarge
Linux m4.10xlarge
Linux m4.16xlarge
Linux m4.2xlarge
Linux m4.4xlarge
Linux m4.large
Linux m4.xlarge
Linux m5.12xlarge
Linux m5.16xlarge
Linux m5.24xlarge
Linux m5.2xlarge
Linux m5.4xlarge
Linux m5.8xlarge
Linux m5.large
Linux m5.metal
Linux m5.xlarge
Linux m5a.12xlarge
Linux m5a.16xlarge
Linux m5a.24xlarge
Linux m5a.2xlarge
Linux m5a.4xlarge
Linux m5a.8xlarge
Linux m5a.large
Linux m5a.xlarge
Linux m5n.12xlarge
Linux m5n.16xlarge
Linux m5n.24xlarge
Linux m5n.2xlarge
Linux m5n.4xlarge
Linux m5n.8xlarge
Linux m5n.large
Linux m5n.metal
Linux m5n.xlarge
Linux m5zn.12xlarge
Linux m5zn.2xlarge
Linux m5zn.3xlarge
Linux m5zn.6xlarge
Linux m5zn.large
Linux m5zn.metal
Linux m5zn.xlarge
Linux m6a.12xlarge
Linux m6a.16xlarge
Linux m6a.24xlarge
Linux m6a.2xlarge
Linux m6a.32xlarge
Linux m6a.48xlarge
Linux m6a.4xlarge
Linux m6a.8xlarge
Linux m6a.large
Linux m6a.metal
Linux m6a.xlarge
Linux m6i.12xlarge
Linux m6i.16xlarge
Linux m6i.24xlarge
Linux m6i.2xlarge
Linux m6i.32xlarge
Linux m6i.4xlarge
Linux m6i.8xlarge
Linux m6i.large
Linux m6i.metal
Linux m6i.xlarge
Linux m6in.12xlarge
Linux m6in.16xlarge
Linux m6in.24xlarge
Linux m6in.2xlarge
Linux m6in.32xlarge
Linux m6in.4xlarge
Linux m6in.8xlarge
Linux m6in.large
Linux m6in.xlarge
Linux r6a.12xlarge
Linux r6a.16xlarge
Linux r6a.24xlarge
Linux r6a.2xlarge
Linux r6a.32xlarge
Linux r6a.48xlarge
Linux r6a.4xlarge
Linux r6a.8xlarge
Linux r6a.large
Linux r6a.metal
Linux r6a.xlarge
Linux r6i.12xlarge
Linux r6i.16xlarge
Linux r6i.24xlarge
Linux r6i.2xlarge
Linux r6i.32xlarge
Linux r6i.4xlarge
Linux r6i.8xlarge
Linux r6i.large
Linux r6i.metal
Linux r6i.xlarge
Linux r6id.12xlarge
Linux r6id.16xlarge
Linux r6id.24xlarge
Linux r6id.2xlarge
Linux r6id.32xlarge
Linux r6id.4xlarge
Linux r6id.8xlarge
Linux r6id.large
Linux r6id.metal
Linux r6id.xlarge
Linux r6in.12xlarge
Linux r6in.16xlarge
Linux r6in.24xlarge
Linux r6in.2xlarge
Linux r6in.32xlarge
Linux r6in.4xlarge
Linux r6in.8xlarge
Linux r6in.large
Linux r6in.xlarge
Linux R7iz
Linux t2.2xlarge
Linux t2.large
Linux t2.medium
Linux t2.micro
Linux t2.nano
Linux t2.small
Linux t2.xlarge
Linux t3.2xlarge
Linux t3.large
Linux t3.medium
Linux t3.micro
Linux t3.nano
Linux t3.small
Linux t3.xlarge
Linux t3a.2xlarge
Linux t3a.large
Linux t3a.medium
Linux t3a.micro
Linux t3a.nano
Linux t3a.small
Linux t3a.xlarge
RHEL c4.2xlarge
RHEL c4.4xlarge
RHEL c4.8xlarge
RHEL c4.large
RHEL c4.xlarge
RHEL c5a.24xlarge
RHEL c5n.18xlarge
RHEL c5n.2xlarge
RHEL c5n.4xlarge
RHEL c5n.9xlarge
RHEL c5n.large
RHEL c5n.metal
RHEL c5n.xlarge
RHEL c6i.12xlarge
RHEL c6i.16xlarge
RHEL c6i.24xlarge
RHEL c6i.2xlarge
RHEL c6i.32xlarge
RHEL c6i.4xlarge
RHEL c6i.8xlarge
RHEL c6i.large
RHEL c6i.metal
RHEL c6i.xlarge
RHEL c6in.2xlarge
RHEL c6in.4xlarge
RHEL c6in.8xlarge
RHEL c6in.large
RHEL c6in.xlarge
RHEL Hpc6a.48xlarge
RHEL m4.10xlarge
RHEL m4.16xlarge
RHEL m4.2xlarge
RHEL m4.4xlarge
RHEL m4.large
RHEL m4.xlarge
RHEL m5.12xlarge
RHEL m5.16xlarge
